file,flight_id,path,status,reject_reason,row_count,duration_s,sample_hz,file_size_mb,nan_delta_angle,nan_delta_velocity,nan_mag_field,nan_indicated_airsp,nan_baro_alt_meter_,nan_x_f58,nan_y_f58,nan_z_f58
vuelo_116_sync.csv,vuelo_116,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_116_sync.csv,ok,,488,246.93,1.97,9.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_117_sync.csv,vuelo_117,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_117_sync.csv,rejected,"Eksik kritik sutun: ['delta_angle[0]_f124', 'delta_velocity[0]_f124', 'mag_field[0]_f49']",0,0.0,0.0,10.67,,,,,,,,
vuelo_118_sync.csv,vuelo_118,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_118_sync.csv,rejected,"Eksik kritik sutun: ['delta_angle[0]_f124', 'delta_velocity[0]_f124', 'mag_field[0]_f49']",0,0.0,0.0,10.39,,,,,,,,
vuelo_119_sync.csv,vuelo_119,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_119_sync.csv,rejected,"Eksik kritik sutun: ['delta_angle[0]_f124', 'delta_velocity[0]_f124', 'mag_field[0]_f49']",0,0.0,0.0,10.56,,,,,,,,
vuelo_11_sync.csv,vuelo_11,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_11_sync.csv,ok,,500,253.0,1.97,10.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_120_sync.csv,vuelo_120,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_120_sync.csv,rejected,"Eksik kritik sutun: ['delta_angle[0]_f124', 'delta_velocity[0]_f124', 'mag_field[0]_f49']",0,0.0,0.0,10.85,,,,,,,,
vuelo_12_sync.csv,vuelo_12,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_12_sync.csv,ok,,545,275.26,1.98,11.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_13_sync.csv,vuelo_13,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_13_sync.csv,ok,,561,283.87,1.97,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_14_sync.csv,vuelo_14,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_14_sync.csv,ok,,557,281.34,1.98,11.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_15_sync.csv,vuelo_15,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_15_sync.csv,ok,,612,309.67,1.97,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_16_sync.csv,vuelo_16,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_16_sync.csv,rejected,Az satir: 14 < 100,14,0.0,0.0,0.34,,,,,,,,
vuelo_17_sync.csv,vuelo_17,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_17_sync.csv,ok,,620,313.72,1.97,12.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_18_sync.csv,vuelo_18,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_18_sync.csv,ok,,707,357.24,1.98,14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_19_sync.csv,vuelo_19,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_19_sync.csv,ok,,592,299.55,1.97,12.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_1_sync.csv,vuelo_1,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_1_sync.csv,ok,,521,263.12,1.98,10.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_20_sync.csv,vuelo_20,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_20_sync.csv,ok,,546,275.87,1.98,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_21_sync.csv,vuelo_21,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_21_sync.csv,ok,,522,263.7,1.98,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_22_sync.csv,vuelo_22,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_22_sync.csv,ok,,536,270.79,1.98,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_23_sync.csv,vuelo_23,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_23_sync.csv,ok,,537,271.81,1.97,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
